Tabla de Simbolos
ENTRADA    CATEGORIA                 VALOR 
-------    ---------                 ----- 
1          palabra reservada         youngling 
2          palabra reservada         iAmTheSenate 
3          agrupador                 (     
4          agrupador                 )     
5          agrupador                 {     
6          tipo de dato              clones 
7          id                        _i    
8          EOL                       ~endor 
9          palabra reservada         doit  
10         agrupador                 (     
11         id                        _i    
12         asignacion                =     
13         clones                    0     
14         EOL                       ~endor 
15         id                        _i    
16         comparacion aritmetica    <     
17         clones                    10    
18         EOL                       ~endor 
19         id                        _i    
20         asignacion                =     
21         id                        _i    
22         operador aritmetico       +     
23         clones                    1     
24         EOL                       ~endor 
25         agrupador                 )     
26         agrupador                 {     
27         id                        _i    
28         asignacion                =     
29         id                        _i    
30         operador aritmetico       +     
31         clones                    1     
32         EOL                       ~endor 
33         palabra reservada         helloThere 
34         agrupador                 (     
35         id                        _i    
36         agrupador                 )     
37         EOL                       ~endor 
38         agrupador                 }     
39         palabra reservada         do    
40         agrupador                 (     
41         clones                    42    
42         comparacion aritmetica    >     
43         lightsaber                off   
44         agrupador                 )     
45         agrupador                 {     
46         agrupador                 }     
47         agrupador                 }     
48         EOF                       EOF   
